gene_id	gene_name	vtype	group	chrom	start	end	arm	cytoband	biotype	n_samples	vtypes
ENSG00000254701	ENSG00000254701	SV	GroupA	5	70197255	70207745	q	5q3	unprocessed_pseudogene	5	DEL
ENSG00000262974	ENSG00000262974	SV	GroupA	16	18533418	18533817	p	16p2	processed_pseudogene	5	DEL
ENSG00000277647	ENSG00000277647	SV	GroupA	16	18357026	18357136	p	16p2	unprocessed_pseudogene	5	DEL
ENSG00000278667	ENSG00000278667	SV	GroupA	22	22730725	22731090	q	22q1	processed_pseudogene	5	DEL
ENSG00000286149	ENSG00000286149	SV	GroupA	21	8462320	8462798	p	21p1	TEC	5	DEL
ENSG00000286941	ENSG00000286941	SV	GroupA	22	22630546	22633849	q	22q1	lncRNA	5	DEL
ENSG00000289695	ENSG00000289695	SV	GroupA	12	50924969	50970700	q	12q2	protein_coding	5	DEL
ENSG00000290851	ENSG00000290851	SV	GroupA	1	16754910	16770237	p	1p11	lncRNA	5	DEL
ENSG00000290990	ENSG00000290990	SV	GroupA	22	22639177	22644473	q	22q1	lncRNA	5	DEL
ENSG00000291270	ENSG00000291270	SV	GroupA	16	18382707	18390919	p	16p2	lncRNA	5	DEL
ENSG00000100121	GGTLC2	SV	GroupA	22	22644614	22647898	q	22q1	protein_coding	5	DEL
ENSG00000273756	GOLGA6L26	SV	GroupA	15	23324535	23334196	q	15q1	protein_coding	5	DEL
ENSG00000261739	GOLGA8S	SV	GroupA	15	23354748	23368341	q	15q1	protein_coding	5	DEL
ENSG00000030582	GRN	SV	GroupA	17	44345246	44353106	q	17q2	protein_coding	5	DEL
ENSG00000163754	GYG1	SV	GroupA	3	148991408	149031775	q	3q6	protein_coding	5	DEL
ENSG00000173706	HEG1	SV	GroupA	3	124965710	125055997	q	3q4	protein_coding	5	DEL
ENSG00000198265	HELZ	SV	GroupA	17	67070444	67245989	q	17q5	protein_coding	5	DEL
ENSG00000290912	HERC2P7	SV	GroupA	15	23310881	23314566	q	15q1	lncRNA	5	DEL
ENSG00000211679	IGLC3	SV	GroupA	22	22906342	22906803	q	22q1	IG_C_gene	5	DEL
ENSG00000211655	IGLV1-36	SV	GroupA	22	22431958	22432465	q	22q1	IG_V_gene	5	DEL
ENSG00000211653	IGLV1-40	SV	GroupA	22	22409766	22410282	q	22q1	IG_V_gene	5	DEL
ENSG00000253818	IGLV1-41	SV	GroupA	22	22404207	22404721	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211651	IGLV1-44	SV	GroupA	22	22380766	22381347	q	22q1	IG_V_gene	5	DEL
ENSG00000211660	IGLV2-23	SV	GroupA	22	22697789	22698407	q	22q1	IG_V_gene	5	DEL
ENSG00000253451	IGLV2-28	SV	GroupA	22	22664473	22664907	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211656	IGLV2-33	SV	GroupA	22	22588155	22588688	q	22q1	IG_V_gene	5	DEL
ENSG00000253120	IGLV2-34	SV	GroupA	22	22580014	22580296	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211663	IGLV3-19	SV	GroupA	22	22720623	22721145	q	22q1	IG_V_gene	5	DEL
ENSG00000211662	IGLV3-21	SV	GroupA	22	22711689	22713203	q	22q1	IG_V_gene	5	DEL
ENSG00000211661	IGLV3-22	SV	GroupA	22	22704265	22704822	q	22q1	IG_V_gene	5	DEL
ENSG00000253822	IGLV3-24	SV	GroupA	22	22694439	22694952	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211659	IGLV3-25	SV	GroupA	22	22686726	22687271	q	22q1	IG_V_gene	5	DEL
ENSG00000253913	IGLV3-26	SV	GroupA	22	22673152	22673602	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211658	IGLV3-27	SV	GroupA	22	22668288	22668806	q	22q1	IG_V_gene	5	DEL
ENSG00000253338	IGLV3-29	SV	GroupA	22	22661299	22661542	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000253329	IGLV3-30	SV	GroupA	22	22618572	22619163	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000253920	IGLV3-31	SV	GroupA	22	22604445	22605165	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211657	IGLV3-32	SV	GroupA	22	22594528	22595056	q	22q1	IG_V_gene	5	DEL
ENSG00000211654	IGLV5-37	SV	GroupA	22	22427540	22428035	q	22q1	IG_V_gene	5	DEL
ENSG00000253631	IGLV7-35	SV	GroupA	22	22450202	22450652	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000211652	IGLV7-43	SV	GroupA	22	22395018	22395489	q	22q1	IG_V_gene	5	DEL
ENSG00000254240	IGLVI-20	SV	GroupA	22	22715290	22715419	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000253889	IGLVI-38	SV	GroupA	22	22425821	22426314	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000254175	IGLVI-42	SV	GroupA	22	22397032	22397524	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000253546	IGLVVI-22-1	SV	GroupA	22	22700760	22700970	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000253779	IGLVVI-25-1	SV	GroupA	22	22679097	22679345	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000254073	IGLVVII-41-1	SV	GroupA	22	22398849	22398999	q	22q1	IG_V_pseudogene	5	DEL
ENSG00000078596	ITM2A	SV	GroupA	X	79360384	79367667	q	Xq2	protein_coding	5	DEL
ENSG00000220891	LL22NC03-63E9.3	SV	GroupA	22	22559343	22566602	q	22q1	lncRNA	5	DEL
ENSG00000104774	MAN2B1	SV	GroupA	19	12646511	12666742	p	19p2	protein_coding	5	DEL
ENSG00000263811	MIR3675	SV	GroupA	1	16858949	16859021	p	1p11	miRNA	5	DEL
ENSG00000276311	MIR6511A3	SV	GroupA	16	16368876	16368942	p	16p3	miRNA	5	DEL
ENSG00000275391	MIR6770-3	SV	GroupA	16	18379351	18379410	p	16p2	miRNA	5	DEL
ENSG00000260399	MPHOSPH10P6	SV	GroupA	15	23337985	23341848	q	15q1	unprocessed_pseudogene	5	DEL
ENSG00000153029	MR1	SV	GroupA	1	181033374	181061938	q	1q6	protein_coding	5	DEL
ENSG00000186715	MST1L	SV	GroupA	1	16757232	16764480	p	1p11	transcribed_unprocessed_pseudogene	5	DEL
ENSG00000158517	NCF1	SV	GroupA	7	74774011	74789315	q	7q2	protein_coding	5	DEL
ENSG00000188976	NOC2L	SV	GroupA	1	944203	959309	p	1p13	protein_coding	5	DEL
ENSG00000233024	NPIPA9	SV	GroupA	16	18358086	18379331	p	16p2	protein_coding	5	DEL
ENSG00000230239	PDE4DIPP9	SV	GroupA	1	16855407	16859284	p	1p11	unprocessed_pseudogene	5	DEL
ENSG00000261371	PECAM1	SV	GroupA	17	64319415	64413776	q	17q4	protein_coding	5	DEL
ENSG00000121680	PEX16	SV	GroupA	11	45909663	45918812	p	11p1	protein_coding	5	DEL
ENSG00000254681	PKD1P5	SV	GroupA	16	18374521	18401940	p	16p2	transcribed_unprocessed_pseudogene	5	DEL
ENSG00000183169	POM121L1P	SV	GroupA	22	22642251	22644085	q	22q1	transcribed_unprocessed_pseudogene	5	DEL
ENSG00000246334	PRR7-AS1	SV	GroupA	5	177438503	177447982	q	5q13	lncRNA	5	DEL
ENSG00000129084	PSMA1	SV	GroupA	11	14504874	14643635	p	11p4	protein_coding	5	DEL
ENSG00000130508	PXDN	SV	GroupA	2	1631887	1744852	p	2p10	protein_coding	5	DEL
ENSG00000179262	RAD23A	SV	GroupA	19	12945855	12953642	p	19p2	protein_coding	5	DEL
ENSG00000278222	RN7SL536P	SV	GroupA	15	23363272	23363561	q	15q1	misc_RNA	5	DEL
ENSG00000146083	RNF44	SV	GroupA	5	176526712	176538025	q	5q13	protein_coding	5	DEL
ENSG00000277234	RNU1-5P	SV	GroupA	1	16873708	16873851	p	1p11	snRNA	5	DEL
ENSG00000238365	RNU7-57P	SV	GroupA	1	154338743	154338802	q	1q4	snRNA	5	DEL
ENSG00000240522	RPL7AP10	SV	GroupA	19	21149648	21150438	p	19p1	processed_pseudogene	5	DEL
ENSG00000052749	RRP12	SV	GroupA	10	97356358	97426076	q	10q6	protein_coding	5	DEL
ENSG00000126461	SCAF1	SV	GroupA	19	49642209	49658642	q	19q3	protein_coding	5	DEL
ENSG00000111897	SERINC1	SV	GroupA	6	122443351	122471807	q	6q7	protein_coding	5	DEL
ENSG00000068323	TFE3	SV	GroupA	X	49028726	49043410	p	Xp2	protein_coding	5	DEL
ENSG00000134970	TMED7	SV	GroupA	5	115613210	115632992	q	5q7	protein_coding	5	DEL
ENSG00000100038	TOP3B	SV	GroupA	22	21957025	21982813	q	22q1	protein_coding	5	DEL
ENSG00000169905	TOR1AIP2	SV	GroupA	1	179839967	179877803	q	1q6	protein_coding	5	DEL
ENSG00000268357	VN1R81P	SV	GroupA	19	21123817	21124188	p	19p1	unprocessed_pseudogene	5	DEL
ENSG00000084463	WBP11	SV	GroupA	12	14784582	14803486	p	12p3	protein_coding	5	DEL
ENSG00000169548	ZNF280A	SV	GroupA	22	22513736	22520270	q	22q1	protein_coding	5	DEL
ENSG00000275004	ZNF280B	SV	GroupA	22	22484421	22508742	q	22q1	protein_coding	5	DEL
ENSG00000196705	ZNF431	SV	GroupA	19	21142024	21196053	p	19p1	protein_coding	5	DEL
ENSG00000283291	5_8S_rRNA	SV	GroupA	20	29741510	29741661	q	20q1	rRNA	4	DEL
ENSG00000273591	7SK	SV	GroupA	1	149290513	149290762	q	1q3	misc_RNA	4	DEL
ENSG00000159346	ADIPOR1	SV	GroupA	1	202940826	202958572	q	1q8	protein_coding	4	DEL
ENSG00000282968	AGGF1P10	SV	GroupA	20	29430723	29432913	q	20q1	processed_pseudogene	4	DEL
ENSG00000225724	ASH2LP3	SV	GroupA	22	22339573	22341214	q	22q1	unprocessed_pseudogene	4	DEL
ENSG00000206190	ATP10A	SV	GroupA	15	25677273	25865184	q	15q1	protein_coding	4	DEL
ENSG00000267189	ATP5MGP7	SV	GroupA	17	42647834	42648143	q	17q2	processed_pseudogene	4	DEL
ENSG00000149541	B3GAT3	SV	GroupA	11	62615296	62622154	q	11q1	protein_coding	4	DEL
ENSG00000239521	CASTOR3P	SV	GroupA	7	100222597	100271983	q	7q5	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000205771	CATSPER2P1	SV	GroupA	15	43727181	43745165	q	15q3	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000291053	CATSPER2P1	SV	GroupA	15	43726918	43747094	q	15q3	lncRNA	4	DEL
ENSG00000112576	CCND3	SV	GroupA	6	41934934	42050357	p	6p2	protein_coding	4	DEL
ENSG00000175305	CCNE2	SV	GroupA	8	94879770	94896678	q	8q5	protein_coding	4	DEL
ENSG00000150753	CCT5	SV	GroupA	5	10249929	10266389	p	5p4	protein_coding	4	DEL
ENSG00000125726	CD70	SV	GroupA	19	6583183	6604103	p	19p2	protein_coding	4	DEL
ENSG00000283005	CDC27P3	SV	GroupA	20	29746181	29748090	q	20q1	processed_pseudogene	4	DEL
ENSG00000282921	CFTRP2	SV	GroupA	20	29641778	29641976	q	20q1	processed_pseudogene	4	DEL
ENSG00000223572	CKMT1A	SV	GroupA	15	43692886	43699222	q	15q3	protein_coding	4	DEL
ENSG00000088038	CNOT3	SV	GroupA	19	54137749	54155681	q	19q3	protein_coding	4	DEL
ENSG00000108582	CPD	SV	GroupA	17	30378927	30469989	q	17q1	protein_coding	4	DEL
ENSG00000124207	CSE1L	SV	GroupA	20	49046246	49096960	q	20q3	protein_coding	4	DEL
ENSG00000272887	CSPG4P5	SV	GroupA	15	84401807	84408005	q	15q7	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000164932	CTHRC1	SV	GroupA	8	103371538	103382989	q	8q6	protein_coding	4	DEL
ENSG00000187630	DHRS4L2	SV	GroupA	14	23969874	24006408	q	14q1	protein_coding	4	DEL
ENSG00000235370	DNM1P51	SV	GroupA	15	84398990	84401731	q	15q7	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000282935	DUX4L34	SV	GroupA	20	29410348	29411600	q	20q1	unprocessed_pseudogene	4	DEL
ENSG00000282911	DUX4L35	SV	GroupA	20	29448517	29449306	q	20q1	unprocessed_pseudogene	4	DEL
ENSG00000103319	EEF2K	SV	GroupA	16	22206278	22288738	p	16p2	protein_coding	4	DEL
ENSG00000173442	EHBP1L1	SV	GroupA	11	65576046	65592650	q	11q2	protein_coding	4	DEL
ENSG00000232515	ENSG00000232515	SV	GroupA	22	22347807	22348164	q	22q1	unprocessed_pseudogene	4	DEL
ENSG00000236498	ENSG00000236498	SV	GroupA	2	61868432	61886082	p	2p4	lncRNA	4	DEL
ENSG00000244676	ENSG00000244676	SV	GroupA	21	17793488	17810845	q	21q1	lncRNA	4	DEL
ENSG00000249839	ENSG00000249839	SV	GroupA	15	43663654	43684339	q	15q3	unprocessed_pseudogene	4	DEL
ENSG00000254539	ENSG00000254539	SV	GroupA	1	149048576	149051273	q	1q3	lncRNA	4	DEL
ENSG00000254910	ENSG00000254910	SV	GroupA	11	310139	311141	p	11p6	lncRNA	4	DEL
ENSG00000254913	ENSG00000254913	SV	GroupA	1	149006309	149009527	q	1q3	lncRNA	4	DEL
ENSG00000255148	ENSG00000255148	SV	GroupA	1	149018671	149026269	q	1q3	lncRNA	4	DEL
ENSG00000258581	ENSG00000258581	SV	GroupA	14	100366628	100366920	q	14q9	processed_pseudogene	4	DEL
ENSG00000258964	ENSG00000258964	SV	GroupA	14	61734138	61776260	q	14q5	lncRNA	4	DEL
ENSG00000259202	ENSG00000259202	SV	GroupA	15	67142734	67146939	q	15q5	lncRNA	4	DEL
ENSG00000259570	ENSG00000259570	SV	GroupA	15	84394512	84395514	q	15q7	unprocessed_pseudogene	4	DEL
ENSG00000259683	ENSG00000259683	SV	GroupA	15	84389729	84395903	q	15q7	unprocessed_pseudogene	4	DEL
ENSG00000259774	ENSG00000259774	SV	GroupA	15	84422618	84425882	q	15q7	lncRNA	4	DEL
ENSG00000260261	ENSG00000260261	SV	GroupA	3	195953349	195954485	q	3q11	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000261266	ENSG00000261266	SV	GroupA	16	23687049	23687689	p	16p2	lncRNA	4	DEL
ENSG00000264207	ENSG00000264207	SV	GroupA	1	149861271	149862504	q	1q3	lncRNA	4	DEL
ENSG00000269191	ENSG00000269191	SV	GroupA	19	18532908	18536188	p	19p1	lncRNA	4	DEL
ENSG00000271546	ENSG00000271546	SV	GroupA	1	148795797	148796325	q	1q3	processed_pseudogene	4	DEL
ENSG00000272755	ENSG00000272755	SV	GroupA	1	149264252	149264816	q	1q3	lncRNA	4	DEL
ENSG00000282143	ENSG00000282143	SV	GroupA	1	16656879	16667524	p	1p11	lncRNA	4	DEL
ENSG00000286168	ENSG00000286168	SV	GroupA	3	195996262	196027694	q	3q11	lncRNA	4	DEL
ENSG00000286185	ENSG00000286185	SV	GroupA	1	149390623	149556361	q	1q3	protein_coding	4	DEL
ENSG00000286598	ENSG00000286598	SV	GroupA	15	23403848	23407335	q	15q1	lncRNA	4	DEL
ENSG00000288681	ENSG00000288681	SV	GroupA	11	308408	315272	p	11p6	protein_coding	4	DEL
ENSG00000289642	ENSG00000289642	SV	GroupA	1	149013782	149014961	q	1q3	lncRNA	4	DEL
ENSG00000290689	ENSG00000290689	SV	GroupA	15	84199311	84230136	q	15q7	lncRNA	4	DEL
ENSG00000290690	ENSG00000290690	SV	GroupA	15	84398316	84411701	q	15q7	lncRNA	4	DEL
ENSG00000290791	ENSG00000290791	SV	GroupA	1	149842875	149846486	q	1q3	lncRNA	4	DEL
ENSG00000291178	ENSG00000291178	SV	GroupA	7	100300020	100336307	q	7q5	lncRNA	4	DEL
ENSG00000287889	FAM242B	SV	GroupA	20	29548661	29559705	q	20q1	lncRNA	4	DEL
ENSG00000179115	FARSA	SV	GroupA	19	12922479	12934037	p	19p2	protein_coding	4	DEL
ENSG00000068078	FGFR3	SV	GroupA	4	1793293	1808872	p	4p5	protein_coding	4	DEL
ENSG00000282995	FRG1EP	SV	GroupA	20	29480147	29497179	q	20q1	unprocessed_pseudogene	4	DEL
ENSG00000282842	FRG2EP	SV	GroupA	20	29415264	29416911	q	20q1	unprocessed_pseudogene	4	DEL
ENSG00000177628	GBA1	SV	GroupA	1	155234452	155244699	q	1q4	protein_coding	4	DEL
ENSG00000089154	GCN1	SV	GroupA	12	120127202	120194715	q	12q9	protein_coding	4	DEL
ENSG00000119392	GLE1	SV	GroupA	9	128504655	128543874	q	9q9	protein_coding	4	DEL
ENSG00000225151	GOLGA2P7	SV	GroupA	15	84203866	84205319	q	15q7	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000184206	GOLGA6L4	SV	GroupA	15	84235773	84245358	q	15q7	protein_coding	4	DEL
ENSG00000117262	GPR89A	SV	GroupA	1	145607988	145670650	q	1q3	protein_coding	4	DEL
ENSG00000145736	GTF2H2	SV	GroupA	5	71035016	71067689	q	5q3	protein_coding	4	DEL
ENSG00000253816	GUSBP14	SV	GroupA	5	70219918	70258930	q	5q3	unprocessed_pseudogene	4	DEL
ENSG00000275221	H2AC15	SV	GroupA	6	27837880	27838375	p	6p4	protein_coding	4	DEL
ENSG00000288825	H2AC18	SV	GroupA	1	149842218	149842750	q	1q3	protein_coding	4	DEL
ENSG00000288859	H2AC19	SV	GroupA	1	149851061	149851594	q	1q3	protein_coding	4	DEL
ENSG00000233822	H2BC15	SV	GroupA	6	27838545	27855709	p	6p4	protein_coding	4	DEL
ENSG00000220323	H2BC19P	SV	GroupA	1	149843041	149843533	q	1q3	transcribed_unprocessed_pseudogene	4	DEL
ENSG00000184678	H2BC21	SV	GroupA	1	149884459	149886682	q	1q3	protein_coding	4	DEL
ENSG00000183598	H3C13	SV	GroupA	1	149813225	149813693	q	1q3	protein_coding	4	DEL
ENSG00000203811	H3C14	SV	GroupA	1	149840687	149841208	q	1q3	protein_coding	4	DEL
ENSG00000203852	H3C15	SV	GroupA	1	149852608	149853125	q	1q3	protein_coding	4	DEL
ENSG00000270882	H4C14	SV	GroupA	1	149832657	149839767	q	1q3	protein_coding	4	DEL
ENSG00000270276	H4C15	SV	GroupA	1	149854045	149861159	q	1q3	protein_coding	4	DEL
ENSG00000261418	HERC2P6	SV	GroupA	15	23430839	23435212	q	15q1	unprocessed_pseudogene	4	DEL
ENSG00000267132	HMGB3P27	SV	GroupA	17	42648178	42648738	q	17q2	processed_pseudogene	4	DEL
ENSG00000113161	HMGCR	SV	GroupA	5	75336329	75364001	q	5q3	protein_coding	4	DEL
ENSG00000185885	IFITM1	SV	GroupA	11	310041	315272	p	11p6	protein_coding	4	DEL
ENSG00000211645	IGLV1-50	SV	GroupA	22	22327300	22327814	q	22q1	IG_V_gene	4	DEL
ENSG00000223350	IGLV9-49	SV	GroupA	22	22343187	22343732	q	22q1	IG_V_gene	4	DEL
ENSG00000153487	ING1	SV	GroupA	13	110712736	110723339	q	13q10	protein_coding	4	DEL
ENSG00000169592	INO80E	SV	GroupA	16	29995715	30005793	p	16p1	protein_coding	4	DEL
ENSG00000171105	INSR	SV	GroupA	19	7112255	7294414	p	19p2	protein_coding	4	DEL
ENSG00000063241	ISOC2	SV	GroupA	19	55452985	55462343	q	19q3	protein_coding	4	DEL
ENSG00000105639	JAK3	SV	GroupA	19	17824780	17848071	p	19p1	protein_coding	4	DEL
ENSG00000100097	LGALS1	SV	GroupA	22	37675636	37679802	q	22q3	protein_coding	4	DEL
ENSG00000131042	LILRB2	SV	GroupA	19	54273812	54281184	q	19q3	protein_coding	4	DEL
ENSG00000272462	LINC02980	SV	GroupA	6	25992641	26001775	p	6p4	lncRNA	4	DEL
ENSG00000102910	LONP2	SV	GroupA	16	48244300	48363122	q	16q2	protein_coding	4	DEL
ENSG00000099949	LZTR1	SV	GroupA	22	20982269	20999032	q	22q1	protein_coding	4	DEL
ENSG00000141644	MBD1	SV	GroupA	18	50266882	50281774	q	18q4	protein_coding	4	DEL
ENSG00000104738	MCM4	SV	GroupA	8	47960185	47978160	q	8q1	protein_coding	4	DEL
